Contributor Interest Group,Contribution Amount
Republican/Conservative,$400
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,-$550
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$400
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$200
Republican/Conservative,$2000
Republican/Conservative,$750
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$350
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$650
Republican/Conservative,$5000
Republican/Conservative,$500
Republican/Conservative,-$310
Republican/Conservative,$310
Republican/Conservative,$500
Republican/Conservative,$350
Republican/Conservative,-$500
Republican/Conservative,$230
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$400
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$216
Republican/Conservative,$400
Republican/Conservative,$216
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$300
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$300
Republican/Conservative,$225
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$400
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$225
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$1500
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$550
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$1200
Republican/Conservative,$300
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$450
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$320
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$250
Republican/Conservative,$400
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$300
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$5000
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$206
Republican/Conservative,$1294
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$525
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$240
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$525
Republican/Conservative,$200
Republican/Conservative,$350
Republican/Conservative,$300
Republican/Conservative,$250
Republican/Conservative,$400
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,-$500
Republican/Conservative,$200
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$300
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$300
Republican/Conservative,$250
Republican/Conservative,$216
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$400
Republican/Conservative,$300
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$450
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$400
Republican/Conservative,$200
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$400
Republican/Conservative,$225
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$400
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$5000
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$300
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$200
Republican/Conservative,$2000
Republican/Conservative,$5000
Republican/Conservative,$5000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$4000
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$50
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$400
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$4000
Republican/Conservative,$2000
Republican/Conservative,$750
Republican/Conservative,$500
Republican/Conservative,$4000
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$300
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$6000
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$4000
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$6000
Republican/Conservative,$6000
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$750
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$210
Republican/Conservative,$250
Republican/Conservative,$4000
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$4000
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$300
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$750
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$5000
Republican/Conservative,$4000
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$200
Republican/Conservative,$2000
Republican/Conservative,$4000
Republican/Conservative,$5000
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$5000
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$300
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$750
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$350
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$600
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,-$2000
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$400
Republican/Conservative,$400
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$750
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$300
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$300
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$300
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$400
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$300
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$1500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$300
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$2500
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$400
Republican/Conservative,$2000
Republican/Conservative,$350
Republican/Conservative,$300
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$300
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$400
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$1250
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$300
Republican/Conservative,$250
Republican/Conservative,$250
